,Word,Graphemes,Word Length,Number of Graphemes,Number of Vowels,Number of Consonants,Characters per Grapheme
1632,cents,ce-nt-s,5,3,1,4,1.6666666666666667
1633,centuries,ce-nt-ur-ie-s,9,5,4,5,1.8
1634,century,ce-nt-ur-y,7,4,2,5,1.75
1635,ceo,c-e-o,3,3,2,1,1.0
1636,ceramic,c-er-a-m-i-c,7,6,3,4,1.1666666666666667
1637,ceremony,ce-re-m-o-n-y,8,6,3,5,1.3333333333333333
1638,certain,c-er-t-ai-n,7,5,3,4,1.4
1639,certainly,c-er-t-ai-n-l-y,9,7,3,6,1.2857142857142858
1640,certificate,c-er-ti-f-i-c-a.e-t,11,8,5,6,1.375
1641,certificates,c-er-ti-f-i-c-a.e-t-s,12,9,5,7,1.3333333333333333
1642,certification,c-er-ti-f-i-c-a-ti-o-n,13,10,6,7,1.3
1643,certified,c-er-ti-f-i-ed,9,6,4,5,1.5
1644,cgi,c-g-i,3,3,1,2,1.0
1645,chad,ch-a-d,4,3,1,3,1.3333333333333333
1646,chain,ch-ai-n,5,3,2,3,1.6666666666666667
1647,chains,ch-ai-n-s,6,4,2,4,1.5
1648,chair,ch-ai-r,5,3,2,3,1.6666666666666667
1649,chairman,ch-ai-r-m-a-n,8,6,3,5,1.3333333333333333
1650,chairs,ch-ai-r-s,6,4,2,4,1.5
1651,challenge,ch-a-ll-e-ng-e,9,6,3,6,1.5
1652,challenged,ch-a-ll-e-ng-ed,10,6,3,7,1.6666666666666667
1653,challenges,ch-a-ll-e-ng-es,10,6,3,7,1.6666666666666667
1654,challenging,ch-a-ll-e-ng-i-ng,11,7,3,8,1.5714285714285714
1655,chamber,ch-a-m-b-er,7,5,2,5,1.4
1656,chambers,ch-a-m-b-er-s,8,6,2,6,1.3333333333333333
1657,champagne,ch-a-m-p-ai-gn,9,6,3,6,1.5
1658,champion,ch-a-m-p-io-n,8,6,3,5,1.3333333333333333
1659,champions,ch-a-m-p-io-n-s,9,7,3,6,1.2857142857142858
1660,championship,ch-a-m-p-io-n-sh-i-p,12,9,4,8,1.3333333333333333
1661,championships,ch-a-m-p-io-n-sh-i-p-s,13,10,4,9,1.3
1662,chan,ch-a-n,4,3,1,3,1.3333333333333333
1663,chance,ch-anc-e,6,3,2,4,2.0
1664,chancellor,ch-anc-e-ll-or,10,5,3,7,2.0
1665,chances,ch-anc-es,7,3,2,5,2.3333333333333335
1666,change,ch-a-ng-es,6,4,2,4,1.5
1667,changed,ch-a-ng-ed,7,4,2,5,1.75
1668,changelog,ch-a-ng-e-l-o-g,9,7,3,6,1.2857142857142858
1669,changes,ch-a-ng-es,7,4,2,5,1.75
1670,changing,ch-a-ng-i-ng,8,5,2,6,1.6
1671,channel,ch-a-nn-e-l,7,5,2,5,1.4
1672,channels,ch-a-nn-e-l-s,8,6,2,6,1.3333333333333333
1673,chaos,ch-ao-s,5,3,2,3,1.6666666666666667
1674,chapel,ch-a-p-e-l,6,5,2,4,1.2
1675,chapter,ch-a-pt-er,7,4,2,5,1.75
1676,chapters,ch-a-pt-er-s,8,5,2,6,1.6
1677,char,ch-ar,4,2,1,3,2.0
1678,character,ch-a-r-ach-t-er,9,6,3,6,1.5
1679,characteristic,ch-a-r-ach-t-er-is-t-i-c,14,10,5,9,1.4
1680,characteristics,ch-a-r-ach-t-er-is-t-i-c-s,15,11,5,10,1.3636363636363635
1681,characterization,ch-a-r-ach-t-er-i-z-a-ti-o-n,16,12,7,9,1.3333333333333333
1682,characterized,ch-a-r-ach-t-er-i-ze-d,13,9,5,8,1.4444444444444444
1683,characters,ch-a-r-ach-t-er-s,10,7,3,7,1.4285714285714286
1684,charge,ch-ar-ge,6,3,2,4,2.0
1685,charged,ch-ar-ge-d,7,4,2,5,1.75
1686,charger,ch-ar-ge-r,7,4,2,5,1.75
1687,chargers,ch-ar-ge-r-s,8,5,2,6,1.6
1688,charges,ch-ar-g-es,7,4,2,5,1.75
1689,charging,ch-ar-g-i-ng,8,5,2,6,1.6
1690,charitable,ch-a-r-i-t-a-b-le,10,8,4,6,1.25
1691,charity,ch-a-r-i-t-y,7,6,2,5,1.1666666666666667
1692,charles,ch-ar-le-s,7,4,2,5,1.75
1693,charleston,ch-ar-le-st-o-n,10,6,3,7,1.6666666666666667
1694,charlie,ch-ar-l-ie,7,4,3,4,1.75
1695,charlotte,ch-ar-l-o-tt-e,9,6,3,6,1.5
1696,charm,ch-ar-m,5,3,1,4,1.6666666666666667
1697,charming,ch-ar-m-i-ng,8,5,2,6,1.6
1698,charms,ch-ar-m-s,6,4,1,5,1.5
1699,chart,ch-ar-t,5,3,1,4,1.6666666666666667
1700,charter,ch-ar-t-e-r,7,5,2,5,1.4
1701,charts,ch-ar-ts,6,3,1,5,2.0
1702,chase,ch-a.e-s,5,3,2,3,1.6666666666666667
1703,chassis,ch-a-ss-is,7,4,2,5,1.75
1704,chat,ch-a-t,4,3,1,3,1.3333333333333333
1705,cheap,ch-ea-p,5,3,2,3,1.6666666666666667
1706,cheaper,ch-ea-p-er,7,4,3,4,1.75
1707,cheapest,ch-ea-p-es-t,8,5,3,5,1.6
1708,cheat,ch-ea-t,5,3,2,3,1.6666666666666667
1709,cheats,ch-ea-t-s,6,4,2,4,1.5
1710,check,ch-e-ck,5,3,1,4,1.6666666666666667
1711,checked,ch-e-ck-ed,7,4,2,5,1.75
1712,checking,ch-e-ck-i-ng,8,5,2,6,1.6
1713,checklist,ch-e-ck-l-is-t,9,6,2,7,1.5
1714,checkout,ch-e-ck-out,8,4,3,5,2.0
1715,checks,ch-e-ck-s,6,4,1,5,1.5
1716,cheers,ch-ee-r-s,6,4,2,4,1.5
1717,cheese,ch-ee-se,6,3,3,3,2.0
1718,chef,ch-e-f,4,3,1,3,1.3333333333333333
1719,chelsea,ch-e-l-s-ea,7,5,3,4,1.4
1720,chem,ch-e-m,4,3,1,3,1.3333333333333333
1721,chemical,ch-e-m-i-c-al,8,6,3,5,1.3333333333333333
1722,chemicals,ch-e-m-i-c-al-s,9,7,3,6,1.2857142857142858
1723,chemistry,ch-e-m-i-st-r-y,9,7,2,7,1.2857142857142858
1724,chen,ch-e-n,4,3,1,3,1.3333333333333333
1725,cheque,ch-e-que,6,3,3,3,2.0
1726,cherry,ch-e-rr-y,6,4,1,5,1.5
1727,chess,ch-e-ss,5,3,1,4,1.6666666666666667
1728,chest,ch-es-t,5,3,1,4,1.6666666666666667
1729,chester,ch-es-t-er,7,4,2,5,1.75
1730,chevrolet,ch-e-v-r-ol-et,9,6,3,6,1.5
1731,chevy,ch-e-v-y,5,4,1,4,1.25
1732,chi,ch-i,3,2,1,2,1.5
1733,chicago,ch-i-c-a-g-o,7,6,3,4,1.1666666666666667
1734,chick,ch-i-ck,5,3,1,4,1.6666666666666667
1735,chicken,ch-i-ck-e-n,7,5,2,5,1.4
1736,chicks,ch-i-ck-s,6,4,1,5,1.5
1737,chief,ch-ie-f,5,3,2,3,1.6666666666666667
1738,child,ch-i-l-d,5,4,1,4,1.25
1739,childhood,ch-i-l-d-h-oo-d,9,7,3,6,1.2857142857142858
1740,children,ch-i-l-d-r-e-n,8,7,2,6,1.1428571428571428
1741,childrens,ch-i-l-d-r-e-n-s,9,8,2,7,1.125
1742,chile,ch-i-le,5,3,2,3,1.6666666666666667
1743,china,ch-i-n-a,5,4,2,3,1.25
1744,chinese,ch-i-n-e.e-s,7,5,3,4,1.4
1745,chip,ch-i-p,4,3,1,3,1.3333333333333333
1746,chips,ch-i-p-s,5,4,1,4,1.25
1747,cho,ch-o,3,2,1,2,1.5
1748,chocolate,ch-o-c-o-l-a.e-t,9,7,4,5,1.2857142857142858
1749,choice,ch-oi-ce,6,3,3,3,2.0
1750,choices,ch-oi-ce-s,7,4,3,4,1.75
1751,choir,ch-oi-r,5,3,2,3,1.6666666666666667
1752,cholesterol,ch-ol-es-t-er-ol,11,6,4,7,1.8333333333333333
1753,choose,ch-oo-se,6,3,3,3,2.0
1754,choosing,ch-oo-s-i-ng,8,5,3,5,1.6
1755,chorus,ch-or-u-s,6,4,2,4,1.5
1756,chose,ch-o-se,5,3,2,3,1.6666666666666667
1757,chosen,ch-o-se-n,6,4,2,4,1.5
1758,chris,ch-r-is,5,3,1,4,1.6666666666666667
1759,christ,ch-r-is-t,6,4,1,5,1.5
1760,christian,ch-r-is-t-ia-n,9,6,3,6,1.5
1761,christianity,ch-r-is-t-ia-n-it-y,12,8,4,8,1.5
1762,christians,ch-r-is-t-ia-n-s,10,7,3,7,1.4285714285714286
1763,christina,ch-r-is-t-i-n-a,9,7,3,6,1.2857142857142858
1764,christine,ch-r-is-t-i-ne,9,6,3,6,1.5
1765,christmas,ch-r-is-t-m-as,9,6,2,7,1.5
1766,christopher,ch-r-is-t-o-ph-er,11,7,3,8,1.5714285714285714
1767,chrome,ch-r-o-me,6,4,2,4,1.5
1768,chronic,ch-r-o-n-i-c,7,6,2,5,1.1666666666666667
1769,chronicle,ch-r-o-n-i-c-le,9,7,3,6,1.2857142857142858
1770,chronicles,ch-r-o-n-i-c-le-s,10,8,3,7,1.25
1771,chrysler,ch-r-y-s-l-er,8,6,1,7,1.3333333333333333
1772,chubby,ch-u-bb-y,6,4,1,5,1.5
1773,chuck,ch-u-ck,5,3,1,4,1.6666666666666667
1774,church,ch-u-r-ch,6,4,1,5,1.5
1775,churches,ch-u-r-ch-es,8,5,2,6,1.6
1776,ci,c-i,2,2,1,1,1.0
1777,cia,c-i-a,3,3,2,1,1.0
1778,cialis,c-i-a-l-is,6,5,3,3,1.2
1779,ciao,ci-ao,4,2,3,1,2.0
1780,cigarette,ci-g-ar-e-tt-e,9,6,4,5,1.5
1781,cigarettes,ci-g-at-e-tt-es,10,6,4,6,1.6666666666666667
1782,cincinnati,ci-n-ci-nn-a-ti,10,6,4,6,1.6666666666666667
1783,cindy,ci-nd-y,5,3,1,4,1.6666666666666667
1784,cinema,ci-ne-m-a,6,4,3,3,1.5
1785,circle,ci-r-c-le,6,4,2,4,1.5
1786,circles,ci-r-c-le-s,7,5,2,5,1.4
1787,circuit,ci-r-cu-it,7,4,3,4,1.75
1788,circuits,ci-r-ci-it-s,8,5,3,5,1.6
1789,circular,ci-r-cu-l-ar,8,5,3,5,1.6
1790,circulation,ci-r-cu-l-a-ti-o-n,11,8,5,6,1.375
1791,circumstances,ci-r-cu-m-st-a-nc-es,13,8,4,9,1.625
1792,circus,ci-r-cu-s,6,4,2,4,1.5
1793,cisco,ci-sc-o,5,3,2,3,1.6666666666666667
1794,citation,c-i-t-a-ti-o-n,8,7,4,4,1.1428571428571428
1795,citations,c-i-t-a-ti-o-n-s,9,8,4,5,1.125
1796,cite,ci-te,4,2,2,2,2.0
1797,cited,ci-t-ed,5,3,2,3,1.6666666666666667
1798,cities,ci-ti-es,6,3,3,3,2.0
1799,citizen,ci-ti-ze-n,7,4,3,4,1.75
1800,citizens,ci-ti-ze-n-s,8,5,3,5,1.6
1801,citizenship,ci-ti-ze-n-sh-i-p,11,7,4,7,1.5714285714285714
1802,city,ci-t-y,4,3,1,3,1.3333333333333333
1803,citysearch,ci-t-y-s-ea-r-ch,10,7,3,7,1.4285714285714286
1804,civic,ci-v-i-c,5,4,2,3,1.25
1805,civil,ci-v-i-l,5,4,2,3,1.25
1806,civilian,ci-v-i-l-ia-n,8,6,4,4,1.3333333333333333
1807,civilization,ci-v-i-l-i-z-a-ti-o-n,12,10,6,6,1.2
1808,claim,c-l-ai-m,5,4,2,3,1.25
1809,claimed,c-l-ai-m-ed,7,5,3,4,1.4
1810,claims,c-l-ai-m-s,6,5,2,4,1.2
1811,claire,c-l-ai-re,6,4,3,3,1.5
1812,clan,c-l-a-n,4,4,1,3,1.0
1813,clara,c-l-ar-a,5,4,2,3,1.25
1814,clarity,c-l-ar-i-t-y,7,6,2,5,1.1666666666666667
1815,clark,c-l-ar-k,5,4,1,4,1.25
1816,clarke,c-l-ar-ke,6,4,2,4,1.5
1817,class,c-l-a-ss,5,4,1,4,1.25
1818,classes,c-l-a-ss-es,7,5,2,5,1.4
1819,classic,c-l-a-ss-i-c,7,6,2,5,1.1666666666666667
1820,classical,c-l-a-ss-i-c-al,9,7,3,6,1.2857142857142858
1821,classics,c-l-a-ss-i-c-s,8,7,2,6,1.1428571428571428
1822,classification,c-l-a-ss-i-f-i-c-a-ti-o-n,14,12,6,8,1.1666666666666667
1823,classified,c-l-a-ss-i-f-i-ed,10,8,4,6,1.25
1824,classifieds,c-l-a-ss-i-f-i-ed-s,11,9,4,7,1.2222222222222223
1825,classroom,c-l-a-ss-r-oo-m,9,7,3,6,1.2857142857142858
1826,clause,c-l-au-se,6,4,3,3,1.5
1827,clay,c-l-ay,4,3,1,3,1.3333333333333333
1828,clean,c-l-ea-n,5,4,2,3,1.25
1829,cleaner,c-l-ea-n-er,7,5,3,4,1.4
1830,cleaners,c-l-ea-n-er-s,8,6,3,5,1.3333333333333333
1831,cleaning,c-l-ea-n-i-ng,8,6,3,5,1.3333333333333333
1832,cleanup,c-l-ea-n-u-p,7,6,3,4,1.1666666666666667
1833,clear,c-l-ea-r,5,4,2,3,1.25
1834,clearance,c-l-ea-r-a-n-ce,9,7,4,5,1.2857142857142858
1835,cleared,c-l-ea-r-ed,7,5,3,4,1.4
1836,clearing,c-l-ea-r-i-ng,8,6,3,5,1.3333333333333333
1837,clearly,c-l-ea-r-l-y,7,6,2,5,1.1666666666666667
1838,clerk,c-l-er-k,5,4,1,4,1.25
1839,cleveland,c-l-e-ve-l-a-nd,9,7,3,6,1.2857142857142858
1840,click,c-l-i-ck,5,4,1,4,1.25
1841,clicking,c-l-i-ck-i-ng,8,6,2,6,1.3333333333333333
1842,clicks,c-l-i-ck-s,6,5,1,5,1.2
1843,client,c-l-i-e-nt,6,5,2,4,1.2
1844,clients,c-l-i-e-nt-s,7,6,2,5,1.1666666666666667
1845,cliff,c-l-i-ff,5,4,1,4,1.25
1846,climate,c-l-i-m-a.e-t,7,6,3,4,1.1666666666666667
1847,climb,c-l-i-m-b,5,5,1,4,1.0
1848,climbing,c-l-i-m-b-i-ng,8,7,2,6,1.1428571428571428
1849,clinic,c-l-i-n-i-c,6,6,2,4,1.0
1850,clinical,c-l-i-n-i-c-al,8,7,3,5,1.1428571428571428
1851,clinics,c-l-i-n-i-c-s,7,7,2,5,1.0
1852,clinton,c-l-i-n-t-o-n,7,7,2,5,1.0
1853,clip,c-l-i-p,4,4,1,3,1.0
1854,clips,c-l-i-p-s,5,5,1,4,1.0
1855,clock,c-l-o-ck,5,4,1,4,1.25
1856,clocks,c-l-o-ck-s,6,5,1,5,1.2
1857,clone,c-l-o.e-n,5,4,2,3,1.25
1858,close,c-l-o-se,5,4,2,3,1.25
1859,closed,c-l-o.e-s-d,6,5,2,4,1.2
1860,closely,c-l-o.e-s-l-y,7,6,2,5,1.1666666666666667
1861,closer,c-l-o.e-s-r,6,5,2,4,1.2
1862,closes,c-l-o.e-s-s,6,5,2,4,1.2
1863,closest,c-l-o.e-s-e-st,7,6,2,5,1.1666666666666667
1864,closing,c-l-o-si-ng,7,5,2,5,1.4
1865,closure,c-l-o-s-u.e-r,7,6,3,4,1.1666666666666667
1866,cloth,c-l-o-th,5,4,1,4,1.25
1867,clothes,c-l-o-th-es,7,5,2,5,1.4
1868,clothing,c-l-o-th-i-ng,8,6,2,6,1.3333333333333333
1869,cloud,c-l-ou-d,5,4,2,3,1.25
1870,clouds,c-l-ou-d-s,6,5,2,4,1.2
1871,cloudy,c-l-ou-d-y,6,5,2,4,1.2
1872,club,c-l-u-b,4,4,1,3,1.0
1873,clubs,c-l-u-b-s,5,5,1,4,1.0
1874,cluster,c-l-u-st-er,7,5,2,5,1.4
1875,clusters,c-l-u-st-er-s,8,6,2,6,1.3333333333333333
1876,coach,c-oa-ch,5,3,2,3,1.6666666666666667
1877,coaches,c-oa-ch-es,7,4,3,4,1.75
1878,coaching,c-oa-ch-i-ng,8,5,3,5,1.6
1879,coal,c-o-al,4,3,2,2,1.3333333333333333
1880,coalition,c-o-al-i-ti-o-n,9,7,5,4,1.2857142857142858
1881,coast,c-o-as-t,5,4,2,3,1.25
1882,coastal,c-o-as-t-al,7,5,3,4,1.4
1883,coat,c-o-at,4,3,2,2,1.3333333333333333
1884,coated,c-o-at-ed,6,4,3,3,1.5
1885,coating,c-o-at-i-ng,7,5,3,4,1.4
1886,cock,c-o-ck,4,3,1,3,1.3333333333333333
1887,cocks,c-o-ck-s,5,4,1,4,1.25
1888,cocktail,c-o-ck-t-ai-l,8,6,3,5,1.3333333333333333
1889,cod,c-o-d,3,3,1,2,1.0
1890,code,c-o-de,4,3,2,2,1.3333333333333333
1891,codes,c-o-de-s,5,4,2,3,1.25
1892,coding,c-o-d-i-ng,6,5,2,4,1.2
1893,coffee,c-o-ff-ee,6,4,3,3,1.5
1894,cognitive,c-o-g-n-i-ti-ve,9,7,4,5,1.2857142857142858
1895,cohen,c-o-h-e-n,5,5,2,3,1.0
1896,coin,c-oi-n,4,3,2,2,1.3333333333333333
1897,coins,c-oi-n-s,5,4,2,3,1.25
1898,cold,c-ol-d,4,3,1,3,1.3333333333333333
1899,cole,c-ol-e,4,3,2,2,1.3333333333333333
1900,coleman,c-ol-e-m-a-n,7,6,3,4,1.1666666666666667
1901,colin,c-ol-i-n,5,4,2,3,1.25
1902,collaboration,c-ol-l-a-b-or-a-ti-o-n,13,10,6,7,1.3
1903,collaborative,c-ol-l-a-b-or-a-ti-ve,13,9,6,7,1.4444444444444444
1904,collapse,c-o-ll-a-p-se,8,6,3,5,1.3333333333333333
1905,collar,c-o-ll-ar,6,4,2,4,1.5
1906,colleague,c-o-ll-ea-gue,9,5,5,4,1.8
1907,colleagues,c-o-ll-ea-gue-s,10,6,5,5,1.6666666666666667
1908,collect,c-o-ll-e-ct,7,5,2,5,1.4
1909,collectables,c-o-ll-e-ct-a-b-le-s,12,9,4,8,1.3333333333333333
1910,collected,c-o-ll-e-ct-ed,9,6,3,6,1.5
1911,collectible,c-o-ll-e-ct-i-b-le,11,8,4,7,1.375
1912,collectibles,c-o-ll-e-ct-i-b-le-s,12,9,4,8,1.3333333333333333
1913,collecting,c-o-ll-e-ct-i-ng,10,7,3,7,1.4285714285714286
1914,collection,c-o-ll-e-c-ti-o-n,10,8,4,6,1.25
1915,collections,c-o-ll-e-c-ti-o-n-s,11,9,4,7,1.2222222222222223
1916,collective,c-o-ll-e-ct-i-ve,10,7,4,6,1.4285714285714286
1917,collector,c-o-ll-e-ct-or,9,6,3,6,1.5
1918,collectors,c-o-ll-e-ct-or-s,10,7,3,7,1.4285714285714286
1919,college,c-o-ll-e-ge,7,5,3,4,1.4
1920,colleges,c-o-ll-e-ge-s,8,6,3,5,1.3333333333333333
1921,collins,c-o-ll-i-n-s,7,6,2,5,1.1666666666666667
1922,cologne,c-olo-gne,7,3,3,4,2.3333333333333335
1923,colombia,c-ol-o-mb-ia,8,5,4,4,1.6
1924,colon,c-ol-o-n,5,4,2,3,1.25
1925,colonial,c-ol-o-n-ia-l,8,6,4,4,1.3333333333333333
1926,colony,c-ol-o-n-y,6,5,2,4,1.2
1927,color,c-ol-or,5,3,2,3,1.6666666666666667
1928,colorado,c-ol-or-a-d-o,8,6,4,4,1.3333333333333333
1929,colored,c-ol-or-ed,7,4,3,4,1.75
1930,colors,c-ol-or-s,6,4,2,4,1.5
1931,colour,c-ol-our-s,6,4,3,3,1.5
1932,colours,c-ol-our-s,7,4,3,4,1.75
1933,columbia,c-ol-u-mb-ia,8,5,4,4,1.6
1934,columbus,c-ol-u-mb-u-s,8,6,3,5,1.3333333333333333
1935,column,c-ol-u-mn,6,4,2,4,1.5
1936,columnists,c-ol-u-mn-i-st-s,10,7,3,7,1.4285714285714286
1937,columns,c-ol-u-mn-s,7,5,2,5,1.4
1938,com,c-o-m,3,3,1,2,1.0
1939,combat,c-o-mb-at,6,4,2,4,1.5
1940,combination,c-o-mb-i-n-a-ti-o-n,11,9,5,6,1.2222222222222223
1941,combinations,c-o-mb-i-n-a-ti-o-n-s,12,10,5,7,1.2
1942,combine,c-o-mb-i.e-n,7,5,3,4,1.4
1943,combined,c-o-mb-i.e-n-d,8,6,3,5,1.3333333333333333
1944,combines,c-o-mb-i.e-n-s,8,6,3,5,1.3333333333333333
1945,combining,c-o-mb-i-n-i-ng,9,7,3,6,1.2857142857142858
1946,combo,c-o-mb-o,5,4,2,3,1.25
1947,come,c-o-me,4,3,2,2,1.3333333333333333
1948,comedy,c-o-me-d-y,6,5,2,4,1.2
1949,comes,c-o-me-s,5,4,2,3,1.25
1950,comfort,c-o-m-f-or-t,7,6,2,5,1.1666666666666667
1951,comfortable,c-o-m-f-or-t-a-b-le,11,9,4,7,1.2222222222222223
1952,comic,c-o-m-i-c,5,5,2,3,1.0
1953,comics,c-o-m-i-c-s,6,6,2,4,1.0
1954,coming,c-o-m-i-ng,6,5,2,4,1.2
1955,comm,c-o-mm,4,3,1,3,1.3333333333333333
1956,command,c-o-mm-a-nd,7,5,2,5,1.4
1957,commander,c-o-mm-a-nd-er,9,6,3,6,1.5
1958,commands,c-o-mm-a-nd-s,8,6,2,6,1.3333333333333333
1959,comment,c-o-mm-e-nt,7,5,2,5,1.4
1960,commentary,c-o-mm-e-nt-a-r-y,10,8,3,7,1.25
1961,commented,c-o-mm-e-nt-ed,9,6,3,6,1.5
1962,comments,c-o-mm-e-nt-s,8,6,2,6,1.3333333333333333
1963,commerce,c-o-mm-er-ce,8,5,3,5,1.6
1964,commercial,c-o-mm-er-ci-al,10,6,4,6,1.6666666666666667
1965,commission,c-o-mm-i-ss-io-n,10,7,4,6,1.4285714285714286
1966,commissioner,c-o-mm-i-ss-io-n-er,12,8,5,7,1.5
1967,commissioners,c-o-mm-i-ss-io-n-er-s,13,9,5,8,1.4444444444444444
1968,commissions,c-o-mm-i-ss-io-n-s,11,8,4,7,1.375
1969,commit,c-o-mm-i-t,6,5,2,4,1.2
1970,commitment,c-o-mm-i-t-me-nt,10,7,3,7,1.4285714285714286
1971,commitments,c-o-mm-i-t-me-nt-s,11,8,3,8,1.375
1972,committed,c-o-mm-i-tt-ed,9,6,3,6,1.5
1973,committee,c-o-mm-i-tt-ee,9,6,4,5,1.5
1974,committees,c-o-mm-i-tt-ee-s,10,7,4,6,1.4285714285714286
1975,commodities,c-o-mm-o-di-ti-es,11,7,5,6,1.5714285714285714
1976,commodity,c-o-mm-o-di-t-y,9,7,3,6,1.2857142857142858
1977,common,c-o-mm-o-n,6,5,2,4,1.2
1978,commonly,c-o-mm-o-n-l-y,8,7,2,6,1.1428571428571428
1979,commons,c-o-mm-o-n-s,7,6,2,5,1.1666666666666667
1980,commonwealth,c-o-mm-o-n-w-ea-l-th,12,9,4,8,1.3333333333333333
1981,communicate,c-o-mm-u-n-i-c-a.e-t,11,9,5,6,1.2222222222222223
1982,communication,c-o-mm-u-n-i-c-a-ti-o-n,13,11,6,7,1.1818181818181819
1983,communications,c-o-mm-u-n-i-c-a-ti-o-n-s,14,12,6,8,1.1666666666666667
1984,communist,c-o-mm-u-n-is-t,9,7,3,6,1.2857142857142858
1985,communities,c-o-mm-u-n-i-ti-es,11,8,5,6,1.375
1986,community,c-o-mm-u-n-it-y,9,7,3,6,1.2857142857142858
1987,comp,c-o-m-p,4,4,1,3,1.0
1988,compact,c-o-m-p-a-ct,7,6,2,5,1.1666666666666667
1989,companies,c-o-m-p-a-n-ie-s,9,8,4,5,1.125
1990,companion,c-o-m-p-a-n-io-n,9,8,4,5,1.125
1991,company,c-o-m-p-a-n-y,7,7,2,5,1.0
1992,comparable,c-o-m-p-ar-a-b-le,10,8,4,6,1.25
1993,comparative,c-o-m-p-ar-a-ti-ve,11,8,5,6,1.375
1994,compare,c-o-m-p-a.e-r,7,6,3,4,1.1666666666666667
1995,compared,c-o-m-p-a.e-r-d,8,7,3,5,1.1428571428571428
1996,comparing,c-o-m-p-ar-i-ng,9,7,3,6,1.2857142857142858
1997,comparison,c-o-m-p-ar-i-s-n,10,8,4,6,1.25
1998,comparisons,c-o-m-p-ar-i-s-o-n-s,11,10,4,7,1.1
1999,compatibility,c-o-m-p-a-ti-b-i-l-i-t-y,13,12,5,8,1.0833333333333333
2000,compatible,c-o-m-p-a-ti-b-le,10,8,4,6,1.25
2001,compensation,c-o-m-p-e-n-s-a-ti-o-n,12,11,5,7,1.0909090909090908
2002,compete,c-o-m-p-e-te,7,6,3,4,1.1666666666666667
2003,competent,c-o-m-p-e-te-nt,9,7,3,6,1.2857142857142858
2004,competing,c-o-m-p-e-ti-ng,9,7,3,6,1.2857142857142858
2005,competition,c-o-m-p-e-ti-ti-o-n,11,9,5,6,1.2222222222222223
2006,competitions,c-o-m-p-e-ti-ti-o-n-s,12,10,5,7,1.2
2007,competitive,c-o-m-pe-ti-ti-ve,11,7,5,6,1.5714285714285714
2008,competitors,c-o-m-pe-ti-t-or-s,11,8,4,7,1.375
2009,compilation,c-o-m-p-i-l-a-ti-o-n,11,10,5,6,1.1
2010,compile,c-o-m-p-i.e-l,7,6,3,4,1.1666666666666667
2011,compiled,c-o-m-p-i.e-l-d,8,7,3,5,1.1428571428571428
2012,compiles,c-o-m-p-i.e-l-s,8,7,3,5,1.1428571428571428
2013,complaint,c-o-m-p-l-ai-nt,9,7,3,6,1.2857142857142858
2014,complaints,c-o-m-p-l-ai-nt-s,10,8,3,7,1.25
2015,complement,c-o-m-p-le-me-nt,10,7,3,7,1.4285714285714286
2016,complete,c-o-m-p-le-te,8,6,3,5,1.3333333333333333
2017,completed,c-o-m-p-le-te-d,9,7,3,6,1.2857142857142858
2018,completely,c-o-m-p-le-te-l-y,10,8,3,7,1.25
2019,completing,c-o-m-p-le-ti-ng,10,7,3,7,1.4285714285714286
2020,completion,c-o-m-p-le-ti-o-n,10,8,4,6,1.25
2021,complex,c-o-m-p-le-x,7,6,2,5,1.1666666666666667
2022,complexity,c-o-m-p-le-x-i-t-y,10,9,3,7,1.1111111111111112
2023,compliance,c-o-m-p-l-ia-n-ce,10,8,4,6,1.25
2024,compliant,c-o-m-p-l-ia-nt,9,7,3,6,1.2857142857142858
2025,complicated,c-o-m-p-l-i-c-a.e-t-d,11,10,4,7,1.1
2026,complications,c-o-m-p-l-i-c-a-ti-o-n-s,13,12,5,8,1.0833333333333333
2027,complimentary,c-o-m-p-l-i-me-nt-ar-y,13,10,4,9,1.3
2028,comply,c-o-m-p-l-y,6,6,1,5,1.0
2029,component,c-o-m-p-o-ne-nt,9,7,3,6,1.2857142857142858
2030,components,c-o-m-p-o-ne-nt-s,10,8,3,7,1.25
2031,composed,c-o-m-p-o-se-d,8,7,3,5,1.1428571428571428
2032,composer,c-o-m-p-o-se-r,8,7,3,5,1.1428571428571428
2033,composite,c-o-m-p-o-si-te,9,7,4,5,1.2857142857142858
2034,composition,c-o-m-p-o-si-ti-o-n,11,9,5,6,1.2222222222222223
2035,compound,c-o-m-p-ou-nd,8,6,3,5,1.3333333333333333
2036,compounds,c-o-m-p-ou-nd-s,9,7,3,6,1.2857142857142858
2037,comprehensive,c-o-m-p-re-he-n-si-ve,13,9,5,8,1.4444444444444444
2038,compressed,c-o-m-p-re-ss-ed,10,7,3,7,1.4285714285714286
2039,compression,c-o-m-p-re-ss-io-n,11,8,4,7,1.375
2040,compromise,c-o-m-p-r-o-m-i-se,10,9,4,6,1.1111111111111112
2041,computation,c-o-m-p-ut-a-ti-o-n,11,9,5,6,1.2222222222222223
2042,computational,c-o-m-p-ut-a-ti-o-n-al,13,10,6,7,1.3
2043,compute,c-o-m-p-u.e-t,7,6,3,4,1.1666666666666667
2044,computed,c-o-m-p-u.e-t-d,8,7,3,5,1.1428571428571428
2045,computer,c-o-m-p-u.e-t-r,8,7,3,5,1.1428571428571428
